user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy,answer_correctness
LBS 系统提供哪些路线偏好设置？,"['LBS需要支持用户设置路线偏好时选择辅助驾驶路线优先，具体请参考<路线偏好>。', 'LBS系统需要为用户提供HMI的方式来快捷设置路线偏好；\nLBS系统还需要有能力让用户通过VA来切换路线偏好。', '为满足不同用户的需求，LBS系统提供不同的路线规划策略，智能推荐、时间优先、躲避拥堵、避免收费、不走高速、高速优先、Super Cruise优先。\n路线偏好设置详细请参考<路线偏好>。', 'LBS系统算出多条路线的情况下，路线的排序需要按照用户的路线偏好选择来排序，具体的排序规则，供应商需要提供路线规划结果的排序规则，并交由泛亚审核。\nBaidu：\n第一条路线为智能推荐路线，根据路线热度、用户常走、时间、距离综合推算获得；\n第二条和第三条路线以距离纬度进行排列，距离越短优先级越高；']",LBS系统提供的路线偏好设置包括：智能推荐、时间优先、躲避拥堵、避免收费、不走高速、高速优先、Super Cruise优先。,LBS 系统提供的路线偏好设置包括：智能推荐、时间优先、躲避拥堵、避免收费、不走高速、高速优先、Super Cruise 优先。,0.3333333333,1.0,1.0,0.5836702689559394,0.90625
少收费路线在什么情况下仍然可能规划收费路线？,"['尽量规划避免收费的路线。\n在以下两种情况，可能还会规划收费路线：\n不收费到不了目的地\n只走不收费道路会非常绕路', '存在以下情况导致路径规划失败：', '路线搜索结果中，不同的路线可能有对应的特性，路线特性中潜在包含以下特性信息：\n路线特性可能为时间最短\n路线特性可能为拥堵最少\n路线特性可能为路程最短\n路线特性可能为免费\n路线特性可能为推荐\n在线算路：\na) 高德推荐\nb) 速度最快\nc) 少收费\nd) 躲避拥堵\ne) 不走高速\nf) 高速优先\n离线算路：\na) 高德推荐\nb) 高速优先\nc) 少收费\nd) 不走高速', '路线规划功能通过用户设置的起点，终点以及路线偏好后，从时间最短，里程最短等多维度规划出多条路线供用户选择。网络通畅时，导航发起路径规划到展示路径规划需小于3s。']","在以下两种情况，可能还会规划收费路线：
不收费到不了目的地
只走不收费道路会非常绕路",在以下两种情况下，即使选择少收费路线，系统仍可能规划收费路线：1）不收费无法到达目的地；2）只走不收费道路会导致非常绕路。,,1.0,1.0,0.8966764938032801,0.8655663522664114
不走高速路线在什么情况下仍然可能规划高速？,"['尽量规划不走高速的路线。\n在以下两种情况下，可能还会规划走高速的路线：\n不走高速到不了目的地\n不走高速的话会非常绕路', '尽量规划避免收费的路线。\n在以下两种情况，可能还会规划收费路线：\n不收费到不了目的地\n只走不收费道路会非常绕路', '尽量规划高速优先的路线。', '路线搜索结果中，不同的路线可能有对应的特性，路线特性中潜在包含以下特性信息：\n路线特性可能为时间最短\n路线特性可能为拥堵最少\n路线特性可能为路程最短\n路线特性可能为免费\n路线特性可能为推荐\n在线算路：\na) 高德推荐\nb) 速度最快\nc) 少收费\nd) 躲避拥堵\ne) 不走高速\nf) 高速优先\n离线算路：\na) 高德推荐\nb) 高速优先\nc) 少收费\nd) 不走高速']","在以下两种情况下，不走高速路线仍然可能规划高速：
1. 不走高速到不了目的地
2. 不走高速的话会非常绕路",在以下两种情况下，即使选择不走高速路线，系统仍可能规划高速：1）不走高速无法到达目的地；2）不走高速会导致非常绕路。,0.99999999995,1.0,1.0,0.8932075821828706,0.6589288724814643
辅助驾驶路线优先这一路线偏好在什么条件下可用？,"['LBS需要支持用户设置路线偏好时选择辅助驾驶路线优先，具体请参考<路线偏好>。', 'LBS系统支持对配置辅助驾驶的车辆提供辅助驾驶可行驶路线优先和辅助驾驶可行驶路线图层。', '尽量走支持使用辅助驾驶的路线。称之为ACC路线或者Super Cruise路线。（需要与ADAS确认可支持的路段）\nACC路线或者Super Cruise路线支持的道路需要读取以太网信号Navigation on ADAS Support Road Class_ETH，具体定义请参考<相关Eth信号>，LBS系统需要支持以下情况进行自动调整：\n当Navigation on ADAS Support Road Class_ETH=$0=OFF时，则辅助驾驶无可支持路段，无辅助驾驶路线优先偏好选项；\n当Navigation on ADAS Support Road Class_ETH=$1=Highway时，则辅助驾驶仅支持高速路段，辅助驾驶路线优先偏好需要支持优先高速；\n当Navigation on ADAS Support Road Class_ETH=$2=Highway and Expressway时，则辅助驾驶支持高速及高架路段，辅助驾驶路线优先偏好需要支持优先高速及高架路段；\n当Navigation on ADAS Support Road Class_ETH=$3=All Road Type时，则辅助驾驶支持所有路段，辅助驾驶路线优先偏好取消；\n当Navigation on ADAS Support Road Class_ETH=$4/$5/$6/$7时，暂未定义辅助驾驶支持的路段，辅助驾驶路线优先偏好取消；', '根据标定参数ADAS_Configuration_Type = 8 “GB_ADCU"" 或ADAS_Configuration_Type = 9 “CLEA_8650 L2++”\n表示该车型配置ADCU/PATAC8650相关功能，即开启L2++ NOP功能；\nL2++ NOP主要包含功能项：\nNOP路线路段标识\nNOP语音播报\nNOP地图数据透出\n在地图上支持高速公路/城市高速公路上自动辅助驾驶的界面渲染\n在地图上支持城市级辅助驾驶，在地理围栏区域内逐点跟随的界面渲染\n具体需求详见附件文档：']","辅助驾驶路线优先偏好在以下条件下可用：
- 当Navigation on ADAS Support Road Class_ETH=$1=Highway时，辅助驾驶路线优先偏好需要支持优先高速
- 当Navigation on ADAS Support Road Class_ETH=$2=Highway and Expressway时，辅助驾驶路线优先偏好需要支持优先高速及高架路段

在以下条件下不可用：
- 当Navigation on ADAS Support Road Class_ETH=$0=OFF时，无辅助驾驶路线优先偏好选项
- 当Navigation on ADAS Support Road Class_ETH=$3=All Road Type时，辅助驾驶路线优先偏好取消
- 当Navigation on ADAS Support Road Class_ETH=$4/$5/$6/$7时，辅助驾驶路线优先偏好取消",辅助驾驶路线优先的可用性由 Navigation on ADAS Support Road Class_ETH 信号决定：当该信号为 0 时无可支持路段，不提供该偏好；为 1 时仅支持高速并需要优先规划高速；其它取值根据可支持路段类型进行优先规划。,0.3333333333,1.0,1.0,0.40305136514409834,
避开限行功能有哪些前置条件？,"['LBS系统的避开限行功能有两一个前置条件：\n避开限行功能的前置条件，需要用户设置了车牌号；\n避开限行功能的前置条件，需要LBS系统联网。\n避开限行功能前置条件不满足处理：\n联网，但未设置车牌号，需要提示和引导用户设置车牌号；\n未联网，但已经设置车牌号，需要提示用户，当前无网络，避开限行功能不可用；\n未联网，未设置车牌号，需要提示和引导用户联网后设置车牌号，以规避限行。', '在用户开启限行规避，并设置了车牌号码的情况下：\n用户进行路线规划状态时，起点（终点、途经点）不在限行区域，LBS系统会根据当地的政策避开限行路段，如果能够避开限行，LBS系统提示用户已经为其避开限行路段；\n用户进行路线规划状态时，起点（终点、途经点）不在限行区域，LBS系统会根据当地的政策避开限行路段，如果能无法避开限行，LBS系统提示用户将会途经限行区域，请合理安排出行；\n用户进行路线规划状态时，如果起点（终点、途经点）在限行区域内，LBS系统则会提醒用户，起点（终点、途经点）在限行区域内，请合理安排出行时间。', '在用户未开启限行，且未设置车牌号码的情况下：\n用户进行路线规划时，LBS系统推荐的几条路径有限行政策时，LBS需要提示用户XX市限行，并建议用户设置车牌信息，以避开限行。\n在用户启动LBS时，如果当前城市有限行政策，LBS系统需要提示用户，当前城市限行，建议用户设置车牌号码，以避开限行。', '在用户设置了车牌号码，但是未开启避开限行的情况：\n用户进行路线规划时，LBS系统推荐的几条路径对当前车牌有限行政策时，LBS需要询问用户是否需要避开XX市限行，并建议用户开启该功能，避开限行。']","避开限行功能的前置条件有两个：
1. 需要用户设置了车牌号；
2. 需要LBS系统联网。",避开限行功能有两个前置条件：1）用户已设置车牌号；2）LBS 系统处于联网状态。,,1.0,1.0,0.4125474404384763,0.9917422426053015
如果联网但未设置车牌号，开启避开限行时系统如何提示？,"['LBS系统的避开限行功能有两一个前置条件：\n避开限行功能的前置条件，需要用户设置了车牌号；\n避开限行功能的前置条件，需要LBS系统联网。\n避开限行功能前置条件不满足处理：\n联网，但未设置车牌号，需要提示和引导用户设置车牌号；\n未联网，但已经设置车牌号，需要提示用户，当前无网络，避开限行功能不可用；\n未联网，未设置车牌号，需要提示和引导用户联网后设置车牌号，以规避限行。', '避开限行服务，需要用户输入车辆车牌信息作为是否限行的判断基础信息。车牌号码设置请参考<车牌号码设置>。', '在用户设置了车牌号码，但是未开启避开限行的情况：\n用户进行路线规划时，LBS系统推荐的几条路径对当前车牌有限行政策时，LBS需要询问用户是否需要避开XX市限行，并建议用户开启该功能，避开限行。', '在用户未开启限行，且未设置车牌号码的情况下：\n用户进行路线规划时，LBS系统推荐的几条路径有限行政策时，LBS需要提示用户XX市限行，并建议用户设置车牌信息，以避开限行。\n在用户启动LBS时，如果当前城市有限行政策，LBS系统需要提示用户，当前城市限行，建议用户设置车牌号码，以避开限行。']",需要提示和引导用户设置车牌号。,联网但未设置车牌号时，系统需要提示并引导用户设置车牌号以启用避开限行功能。,,1.0,,,
如果未联网但已经设置了车牌号，避开限行功能会如何提示？,"['LBS系统的避开限行功能有两一个前置条件：\n避开限行功能的前置条件，需要用户设置了车牌号；\n避开限行功能的前置条件，需要LBS系统联网。\n避开限行功能前置条件不满足处理：\n联网，但未设置车牌号，需要提示和引导用户设置车牌号；\n未联网，但已经设置车牌号，需要提示用户，当前无网络，避开限行功能不可用；\n未联网，未设置车牌号，需要提示和引导用户联网后设置车牌号，以规避限行。', '避开限行服务，需要用户输入车辆车牌信息作为是否限行的判断基础信息。车牌号码设置请参考<车牌号码设置>。', '在用户未开启限行，且未设置车牌号码的情况下：\n用户进行路线规划时，LBS系统推荐的几条路径有限行政策时，LBS需要提示用户XX市限行，并建议用户设置车牌信息，以避开限行。\n在用户启动LBS时，如果当前城市有限行政策，LBS系统需要提示用户，当前城市限行，建议用户设置车牌号码，以避开限行。', '在用户设置了车牌号码，但是未开启避开限行的情况：\n用户进行路线规划时，LBS系统推荐的几条路径对当前车牌有限行政策时，LBS需要询问用户是否需要避开XX市限行，并建议用户开启该功能，避开限行。']",需要提示用户，当前无网络，避开限行功能不可用。,未联网但已设置车牌号时，系统需要提示：当前无网络，避开限行功能不可用。,0.9999999999,1.0,0.6666666666666666,,
车牌号码输入有哪些格式要求？,"['车牌号码设置中，只允许用户输入英文字符和数字。', '避开限行服务，需要用户输入车辆车牌信息作为是否限行的判断基础信息。车牌号码设置请参考<车牌号码设置>。', 'LBS系统的车牌号设置，支持用户最多少输入6个字符，最多支持输入7个字符。', 'LBS系统支持用户设置个性化车标，个性化车标需要支持以下类型：\nLBS系统需要支持用户选择系统默认车标；\nLBS系统需要支持用户选择车速车标，使用仪表车速显示；\nLBS系统需要支持用户选择品牌车标，品牌车标支持别克、凯迪拉克、雪佛兰\nLBS系统需要支持用户选择等级车标；[MY TBD]\nLBS系统需要在彩蛋模式激活后支持用户选择彩蛋模式CVP图标，彩蛋模式对导航的需求请参考《PIS-2010_EasterEggs》；']",车牌号码输入只允许用户输入英文字符和数字，最少输入6个字符，最多输入7个字符。,车牌号码输入要求包括：只允许输入英文字符和数字；输入小写英文需自动转为大写；普通小型汽油车支持 7 位车牌，小型新能源车支持 8 位车牌。,,,,,0.545568551416979
车牌默认省份或直辖市简称是如何确定的？,"['LBS系统中，车牌设置中对应的默认省份/直辖市应根据车辆定位，显示车辆当前位置所在省份/直辖市对应的简称。\n如果当前车辆没有定位信息，则以‘沪’作为默认区域1简称。', '区域列表支持按照直辖市和省份（MY TBD）进行归类。排序规则【TBD】。', 'LBS系统的车牌设置中，需要为用户提供快捷的省份选择功能。', '避开限行服务，需要用户输入车辆车牌信息作为是否限行的判断基础信息。车牌号码设置请参考<车牌号码设置>。']",根据车辆定位，显示车辆当前位置所在省份/直辖市对应的简称。如果当前车辆没有定位信息，则以‘沪’作为默认区域简称。,车牌默认省份或直辖市简称根据车辆当前定位信息自动选择；如果没有定位，则使用“沪”作为默认简称。,,,,,0.83175147976642
LBS 系统支持哪些卫星定位系统？,"['LBS系统需要支持多种卫星定位系统，卫星定位需要支持GPS/ 北斗/ GLONASS等卫星定位系统。', 'LBS系统需要获取详细的卫星定位信息，相关参数如下：\n卫星系统，每颗卫星对应的卫星系统\n卫星颗数，搜索到的卫星颗数\n信号强度，每颗卫星对应的信号强度', 'LBS系统还要支持通过加速度计、陀螺仪、车速(轮速)等信息进行航位推算，辅助卫星定位系统，获得更精准的定位。DR的具体定义请参考《PIS-1209_Standard Location Requirements》。', 'LBS系统需要支持定位服务，支持GNSS定位和航位推算(DR)，需要支持平行路切换和高架识别等。']",LBS系统需要支持GPS、北斗、GLONASS等卫星定位系统。,LBS 系统支持 GPS、北斗和 GLONASS 等卫星定位系统。,0.9999999999,1.0,1.0,0.572955488407814,0.9943842700609324
