user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy,answer_correctness
LBS 系统提供哪些路线偏好设置？,"['为满足不同用户的需求，LBS系统提供不同的路线规划策略，智能推荐、时间优先、躲避拥堵、避免收费、不走高速、高速优先、Super Cruise优先为用户提供多种方式设置路线偏好。', '为满足不同用户的需求，LBS系统提供不同的路线规划策略，智能推荐、时间优先、躲避拥堵、避免收费、不走高速、高速优先、Super Cruise优先。\n路线偏好设置详细请参考<路线偏好>。', 'LBS系统需要为用户提供HMI的方式来快捷设置路线偏好；\nLBS系统还需要有能力让用户通过VA来切换路线偏好。', 'LBS需要支持用户设置路线偏好时选择辅助驾驶路线优先，具体请参考<路线偏好>。']",LBS系统提供的路线偏好设置包括：智能推荐、时间优先、躲避拥堵、避免收费、不走高速、高速优先、Super Cruise优先。,LBS 系统提供的路线偏好设置包括：智能推荐、时间优先、躲避拥堵、避免收费、不走高速、高速优先和 Super Cruise 优先。,0.99999999995,1.0,1.0,0.5836702689559394,0.9556663683864249
少收费路线在什么情况下仍然可能规划收费路线？,"['尽量规划避免收费的路线。\n在以下两种情况，可能还会规划收费路线：\n不收费到不了目的地\n只走不收费道路会非常绕路', '为满足不同用户的需求，LBS系统提供不同的路线规划策略，智能推荐、时间优先、躲避拥堵、避免收费、不走高速、高速优先、Super Cruise优先。\n路线偏好设置详细请参考<路线偏好>。', '路线搜索结果中，不同的路线可能有对应的特性，路线特性中潜在包含以下特性信息：\n路线特性可能为时间最短\n路线特性可能为拥堵最少\n路线特性可能为路程最短\n路线特性可能为免费\n路线特性可能为推荐\n在线算路：\na) 高德推荐\nb) 速度最快\nc) 少收费\nd) 躲避拥堵\ne) 不走高速\nf) 高速优先\n离线算路：\na) 高德推荐\nb) 高速优先\nc) 少收费\nd) 不走高速', '为满足不同用户的需求，LBS系统提供不同的路线规划策略，智能推荐、时间优先、躲避拥堵、避免收费、不走高速、高速优先、Super Cruise优先为用户提供多种方式设置路线偏好。']","在以下两种情况，可能还会规划收费路线：
- 不收费到不了目的地
- 只走不收费道路会非常绕路",在以下两种情况下系统仍可能规划收费路线：不收费无法到达目的地，或者只走不收费道路会导致非常绕路。,0.9999999999,1.0,1.0,0.8966764938032801,0.9786901990941981
不走高速路线在什么情况下仍然可能规划高速？,"['尽量规划不走高速的路线。\n在以下两种情况下，可能还会规划走高速的路线：\n不走高速到不了目的地\n不走高速的话会非常绕路', '尽量规划高速优先的路线。', '为满足不同用户的需求，LBS系统提供不同的路线规划策略，智能推荐、时间优先、躲避拥堵、避免收费、不走高速、高速优先、Super Cruise优先。\n路线偏好设置详细请参考<路线偏好>。', '尽量规划避免收费的路线。\n在以下两种情况，可能还会规划收费路线：\n不收费到不了目的地\n只走不收费道路会非常绕路']","在以下两种情况下，可能还会规划走高速的路线：
不走高速到不了目的地
不走高速的话会非常绕路",在以下两种情况下系统仍可能规划高速：不走高速无法到达目的地，或者不走高速会导致非常绕路。,0.7499999999625,1.0,1.0,0.8994683923218193,0.9711954082627976
辅助驾驶路线优先这一路线偏好在什么条件下可用？,"['尽量走支持使用辅助驾驶的路线。称之为ACC路线或者Super Cruise路线。（需要与ADAS确认可支持的路段）\nACC路线或者Super Cruise路线支持的道路需要读取以太网信号Navigation on ADAS Support Road Class_ETH，具体定义请参考<相关Eth信号>，LBS系统需要支持以下情况进行自动调整：\n当Navigation on ADAS Support Road Class_ETH=$0=OFF时，则辅助驾驶无可支持路段，无辅助驾驶路线优先偏好选项；\n当Navigation on ADAS Support Road Class_ETH=$1=Highway时，则辅助驾驶仅支持高速路段，辅助驾驶路线优先偏好需要支持优先高速；\n当Navigation on ADAS Support Road Class_ETH=$2=Highway and Expressway时，则辅助驾驶支持高速及高架路段，辅助驾驶路线优先偏好需要支持优先高速及高架路段；\n当Navigation on ADAS Support Road Class_ETH=$3=All Road Type时，则辅助驾驶支持所有路段，辅助驾驶路线优先偏好取消；\n当Navigation on ADAS Support Road Class_ETH=$4/$5/$6/$7时，暂未定义辅助驾驶支持的路段，辅助驾驶路线优先偏好取消；', 'LBS需要支持用户设置路线偏好时选择辅助驾驶路线优先，具体请参考<路线偏好>。', 'LBS系统支持对配置辅助驾驶的车辆提供辅助驾驶可行驶路线优先和辅助驾驶可行驶路线图层。', '尽量规划高速优先的路线。']","辅助驾驶路线优先这一路线偏好在以下条件下可用：

- 当Navigation on ADAS Support Road Class_ETH=$1=Highway时，辅助驾驶路线优先偏好需要支持优先高速
- 当Navigation on ADAS Support Road Class_ETH=$2=Highway and Expressway时，辅助驾驶路线优先偏好需要支持优先高速及高架路段

在以下条件下不可用：
- 当Navigation on ADAS Support Road Class_ETH=$0=OFF时，无辅助驾驶路线优先偏好选项
- 当Navigation on ADAS Support Road Class_ETH=$3=All Road Type时，辅助驾驶路线优先偏好取消
- 当Navigation on ADAS Support Road Class_ETH=$4/$5/$6/$7时，辅助驾驶路线优先偏好取消",辅助驾驶路线优先的可用性由 Navigation on ADAS Support Road Class_ETH 信号决定：当该信号为 0 时不提供该偏好；为 1 时优先规划高速；其他取值根据支持的路段类型进行相应规划。,0.9999999999,0.75,,0.4135642457827773,
避开限行功能有哪些前置条件？,"['LBS系统的避开限行功能有两一个前置条件：\n避开限行功能的前置条件，需要用户设置了车牌号；\n避开限行功能的前置条件，需要LBS系统联网。\n避开限行功能前置条件不满足处理：\n联网，但未设置车牌号，需要提示和引导用户设置车牌号；\n未联网，但已经设置车牌号，需要提示用户，当前无网络，避开限行功能不可用；\n未联网，未设置车牌号，需要提示和引导用户联网后设置车牌号，以规避限行。', '在用户开启限行规避，并设置了车牌号码的情况下：\n用户进行路线规划状态时，起点（终点、途经点）不在限行区域，LBS系统会根据当地的政策避开限行路段，如果能够避开限行，LBS系统提示用户已经为其避开限行路段；\n用户进行路线规划状态时，起点（终点、途经点）不在限行区域，LBS系统会根据当地的政策避开限行路段，如果能无法避开限行，LBS系统提示用户将会途经限行区域，请合理安排出行；\n用户进行路线规划状态时，如果起点（终点、途经点）在限行区域内，LBS系统则会提醒用户，起点（终点、途经点）在限行区域内，请合理安排出行时间。', '前置条件：异常状态，未知原因\n需要提示用户系统异常，建议用户稍后再试。', '避开限行服务，需要用户输入车辆车牌信息作为是否限行的判断基础信息。车牌号码设置请参考<车牌号码设置>。']","避开限行功能的前置条件：
- 需要用户设置了车牌号
- 需要LBS系统联网",避开限行功能的前置条件包括：用户已设置车牌号，并且车辆处于联网状态。,,1.0,1.0,,0.6027501253203181
如果联网但未设置车牌号，开启避开限行时系统如何提示？,"['在用户未开启限行，且未设置车牌号码的情况下：\n用户进行路线规划时，LBS系统推荐的几条路径有限行政策时，LBS需要提示用户XX市限行，并建议用户设置车牌信息，以避开限行。\n在用户启动LBS时，如果当前城市有限行政策，LBS系统需要提示用户，当前城市限行，建议用户设置车牌号码，以避开限行。', '在用户设置了车牌号码，但是未开启避开限行的情况：\n用户进行路线规划时，LBS系统推荐的几条路径对当前车牌有限行政策时，LBS需要询问用户是否需要避开XX市限行，并建议用户开启该功能，避开限行。', 'LBS系统的避开限行功能有两一个前置条件：\n避开限行功能的前置条件，需要用户设置了车牌号；\n避开限行功能的前置条件，需要LBS系统联网。\n避开限行功能前置条件不满足处理：\n联网，但未设置车牌号，需要提示和引导用户设置车牌号；\n未联网，但已经设置车牌号，需要提示用户，当前无网络，避开限行功能不可用；\n未联网，未设置车牌号，需要提示和引导用户联网后设置车牌号，以规避限行。', '在用户开启限行规避，并设置了车牌号码的情况下：\n用户进行路线规划状态时，起点（终点、途经点）不在限行区域，LBS系统会根据当地的政策避开限行路段，如果能够避开限行，LBS系统提示用户已经为其避开限行路段；\n用户进行路线规划状态时，起点（终点、途经点）不在限行区域，LBS系统会根据当地的政策避开限行路段，如果能无法避开限行，LBS系统提示用户将会途经限行区域，请合理安排出行；\n用户进行路线规划状态时，如果起点（终点、途经点）在限行区域内，LBS系统则会提醒用户，起点（终点、途经点）在限行区域内，请合理安排出行时间。']",需要提示和引导用户设置车牌号。,联网但未设置车牌号时，系统会提示并引导用户设置车牌号。,0.8333333332916666,,,,0.6383618865308359
如果未联网但已经设置了车牌号，避开限行功能会如何提示？,"['LBS系统的避开限行功能有两一个前置条件：\n避开限行功能的前置条件，需要用户设置了车牌号；\n避开限行功能的前置条件，需要LBS系统联网。\n避开限行功能前置条件不满足处理：\n联网，但未设置车牌号，需要提示和引导用户设置车牌号；\n未联网，但已经设置车牌号，需要提示用户，当前无网络，避开限行功能不可用；\n未联网，未设置车牌号，需要提示和引导用户联网后设置车牌号，以规避限行。', '在用户设置了车牌号码，但是未开启避开限行的情况：\n用户进行路线规划时，LBS系统推荐的几条路径对当前车牌有限行政策时，LBS需要询问用户是否需要避开XX市限行，并建议用户开启该功能，避开限行。', '在用户开启限行规避，并设置了车牌号码的情况下：\n用户进行路线规划状态时，起点（终点、途经点）不在限行区域，LBS系统会根据当地的政策避开限行路段，如果能够避开限行，LBS系统提示用户已经为其避开限行路段；\n用户进行路线规划状态时，起点（终点、途经点）不在限行区域，LBS系统会根据当地的政策避开限行路段，如果能无法避开限行，LBS系统提示用户将会途经限行区域，请合理安排出行；\n用户进行路线规划状态时，如果起点（终点、途经点）在限行区域内，LBS系统则会提醒用户，起点（终点、途经点）在限行区域内，请合理安排出行时间。', '在用户未开启限行，且未设置车牌号码的情况下：\n用户进行路线规划时，LBS系统推荐的几条路径有限行政策时，LBS需要提示用户XX市限行，并建议用户设置车牌信息，以避开限行。\n在用户启动LBS时，如果当前城市有限行政策，LBS系统需要提示用户，当前城市限行，建议用户设置车牌号码，以避开限行。']",需要提示用户，当前无网络，避开限行功能不可用。,未联网但已设置车牌号时，系统会提示当前无网络，避开限行不可用。,0.9999999999,1.0,0.6666666666666666,0.35408795143660066,0.6376560587277951
车牌号码输入有哪些格式要求？,"['车牌号码设置中，只允许用户输入英文字符和数字。', 'LBS系统的车牌号设置，支持用户最多少输入6个字符，最多支持输入7个字符。', '避开限行服务，需要用户输入车辆车牌信息作为是否限行的判断基础信息。车牌号码设置请参考<车牌号码设置>。', '标定参数GMBrand=1表示车辆品牌为别克；\n标定参数GMBrand=2表示车辆品牌为凯迪拉克；\n标定参数GMBrand=3表示车辆品牌为雪佛兰；']","车牌号码输入要求：
1. 只允许输入英文字符和数字
2. 最少输入6个字符，最多输入7个字符",车牌号码输入要求包括：只允许输入中文、英文和数字；小写英文会自动转为大写；普通燃油车支持 7 位车牌，新能源车支持 8 位车牌。,0.0,0.0,0.6,0.4187212811182352,0.49087402765457716
车牌默认省份或直辖市简称是如何确定的？,"['LBS系统中，车牌设置中对应的默认省份/直辖市应根据车辆定位，显示车辆当前位置所在省份/直辖市对应的简称。\n如果当前车辆没有定位信息，则以‘沪’作为默认区域1简称。', '标定参数GMBrand=1表示车辆品牌为别克；\n标定参数GMBrand=2表示车辆品牌为凯迪拉克；\n标定参数GMBrand=3表示车辆品牌为雪佛兰；', '区域列表支持按照直辖市和省份（MY TBD）进行归类。排序规则【TBD】。', 'LBS系统的车牌设置中，需要为用户提供快捷的省份选择功能。']",车牌默认省份或直辖市简称根据车辆定位确定，显示车辆当前位置所在省份/直辖市对应的简称。如果当前车辆没有定位信息，则以‘沪’作为默认区域简称。,车牌默认省份简称根据车辆定位自动选择；如果没有定位，则默认使用“沪”。,,1.0,1.0,0.9755235385608028,0.722811789236006
LBS 系统支持哪些卫星定位系统？,"['LBS系统需要支持多种卫星定位系统，卫星定位需要支持GPS/ 北斗/ GLONASS等卫星定位系统。', 'LBS系统需要支持定位服务，支持GNSS定位和航位推算(DR)，需要支持平行路切换和高架识别等。', 'LBS系统还要支持通过加速度计、陀螺仪、车速(轮速)等信息进行航位推算，辅助卫星定位系统，获得更精准的定位。DR的具体定义请参考《PIS-1209_Standard Location Requirements》。', 'LBS系统需要支持后端融合定位方案，后端融合定位方案中，LBS系统需要处理原始GNSS数据和IMU原始数据完成定位数据融合，并输出定位数据。']",LBS系统需要支持GPS、北斗、GLONASS等卫星定位系统。,LBS 系统支持 GPS、北斗和 GLONASS 三种卫星定位系统。,0.9999999999,1.0,,0.572955488407814,0.8818815923186978
LBS 系统如何划分卫星定位精度等级？,"['LBS系统需要支持根据实际的收星状态，计算当前卫星定位系统定位状态，计算频率0.1Hz要求至少3分钟刷新一次，定位精度需要划分4个等级：\n卫星定位无效，对应的精度范围，定位误差 > xxxm\n卫星定位精度低，对应的精度范围，xxxm < 定位误差 < xxxm\n卫星定位精度中，对应的精度范围，xxxm < 定位误差 < xxxm\n卫星定位精度高，对应的精度范围，定位误差< xxxm\n卫星定位无效：校准卫星数 [0,0];\n卫星定位信号弱：校准卫星数 [0,4];\n卫星定位信号中：校准卫星数 [4,7];\n卫星定位信号强：校准卫星数 [7,24];', 'LBS系统需要获取详细的卫星定位信息，相关参数如下：\n卫星系统，每颗卫星对应的卫星系统\n卫星颗数，搜索到的卫星颗数\n信号强度，每颗卫星对应的信号强度', 'LBS系统还要支持通过加速度计、陀螺仪、车速(轮速)等信息进行航位推算，辅助卫星定位系统，获得更精准的定位。DR的具体定义请参考《PIS-1209_Standard Location Requirements》。', 'LBS系统需要支持定位服务，支持GNSS定位和航位推算(DR)，需要支持平行路切换和高架识别等。']","根据上下文，LBS系统将卫星定位精度划分为4个等级：

1. 卫星定位无效：定位误差 > xxxm，校准卫星数 [0,0]
2. 卫星定位精度低：xxxm < 定位误差 < xxxm，校准卫星数 [0,4]
3. 卫星定位精度中：xxxm < 定位误差 < xxxm，校准卫星数 [4,7]
4. 卫星定位精度高：定位误差 < xxxm，校准卫星数 [7,24]",LBS 系统将卫星定位精度划分为无效、精度低、精度中和精度高四个等级，对应不同的定位误差范围。,0.9999999999,1.0,,0.5505457061347924,0.30591225737810734
